"Change
Ind.","Valid
From","Valid
Until",ID,Airway,From,To,"Point or
Airspace",Utilization,"Time
Applicability",Categorisation,"Operational
Goal",Remarks,ATC Unit,NAS/FAB,"Release
Date","Special Event and 
Crisis"
,,,LZ2634,,,,LZBBWEST,"NOT AVBL FOR TFC
ARR LZKZ & VIA LZBBWEST AND-THEN VIA LHCCEAST",H24,S,To avoid LZBB FIR reentering,,LZBBACC,LZ,27 JUL 2024,
,,,LZ2635,,,,LZBBWEST,"NOT AVBL FOR TFC
1. ARR/DEP EPWR & VIA LHCCEAST EXC_x000D_
    a. VIA MAVOR & RFL BLW FL245 IN LZBBFIR_x000D_
    b. VIA VALPI",H24,S,To avoid the sector clipping in LZBB,,LZBBACC,LZ,27 JUL 2024,
,,,LZ2636,,,,LZBBFIR,"NOT AVBL FOR TFC
1. ARR/DEP (EP, LK) & ARR/DEP (LD, LJ, LQ, LR, LY) & ABV FL355 IN LZBBFIR
2. ARR/DEP (EP, LK) & ARR/DEP (LH, LO) & ABV FL345 IN LZBBFIR","AIRAC APR-LAST AIRAC OCT_x000D_
07:00-19:00 (06:00-18:00)_x000D_
",C,To unload higher sectors.,,LZBBACC,LZ,11 MAR 2025,
,,,LZEP1000,M866,BABKO,NIDOK,,"ONLY AVBL FOR TFC
1. ARR LZ**
2. DEP (EPKK, EPKT)
3. ARR (LHBP, LHKE, LHTL) & RFL BLW FL245 IN LZ",H24,C,To segregate traffic flows in a N- S direction,,LZBBACC,"LZ,EP",27 JUL 2024,
,,,LZLH1000,,,,ALAMU,"NOT AVBL FOR TFC
1. ARR (LHBP, LHKE, LHTL)
2. DEP LZIB",H24,S,To force traffic via the STAR transition,,LZBBACC,"LZ,LH",27 JUL 2024,
,,,LZLH1004,,,,ERGOM,"NOT AVBL FOR TFC
ARR LHBP",H24,S,To force traffic ARR LHBPTMA to file via ARFOX/ANEXA.,,LZBBACC,"LZ,LH",27 JUL 2024,
,,,LZLO1000,,,,ABLOM,"NOT AVBL FOR TFC
ARR LZIB
----------
NOT AVBL FOR TFC
1. VIA LHCCWS EXC ARR/DEP LHPR
2. VIA LKAACTA EXC ARR (LKKU, LKPO)
3. ARR (LHBP, LHKE, LHTL) EXC VIA (XENAK L175 ANEXA)","H24
----------
H24",C,To segregate LOWW departures from LZIB arrivals,SEEFRA-SECSIFRA,LZBBACC,"LZ,LO",07 OCT 2024,
,,,LZLO1001,,,,LZBBWEST,"NOT AVBL FOR TFC
VIA LOVVE17 & VIA LHCCWS EXC ARR/DEP (LHPA, LHPR)",H24,C,To avoid the sector clipping in LZBB.,,,"LZ,LO",02 JAN 2025,
,,,LZLO1002,,,,LZBBWEST,"NOT AVBL FOR TFC
1. VIA (LKAACTA, LKAAUTA) AND-THEN XNG LO - LZ BDRY EXC_x000D_
    a. ARR (LHBP, LHTL, LHKE) & VIA ANEXA_x000D_
    b. VIA LHCCEAST",H24,C,To avoid the sector clipping in LZBB.,,,"LZ,LO",07 OCT 2024,
,,,LZLO1003,,,,LZBBWEST,"NOT AVBL FOR TFC
1. XNG LO - LZ BDRY AND-THEN VIA (LKAACTA, LKAAUTA) EXC_x000D_
    a. ARR EPKT & VIA UPLAV_x000D_
    b. ARR (LKMT, LKTB) & VIA (BERVA P10 MAVOR)",H24,C,To avoid the sector clipping in LZBB.,,,"LZ,LO",07 OCT 2024,
,,,LZLO1004,,,,LZBBWEST,"NOT AVBL FOR TFC
1. XNG LZ - LO BDRY AND-THEN VIA (LKAACTA, LKAAUTA) EXC _x000D_
    a. VIA LHCCEAST_x000D_
    b. DEP (LZ**, LHPR, LHPA, LHBP, LHKE, LHTL)",H24,C,To avoid the sector clipping in LZBB.,,,"LZ,LO",07 OCT 2024,
,,,LZLO1005,,,,LZBBWEST,"NOT AVBL FOR TFC
1. VIA (LKAACTA, LKAAUTA) AND-THEN XNG LZ - LO BDRY EXC_x000D_
    a. DEP EPKT & VIA UPLAV_x000D_
    b. DEP (LKMT, LKTB) & VIA (MAVOR P10 BERVA)",H24,C,To avoid the sector clipping in LZBB.,,,"LZ,LO",07 OCT 2024,
,,,LZLO1006,,,,LZBBWEST,"NOT AVBL FOR TFC
1. XNG LO - LH BDRY EXC_x000D_
    a. DEP (LOAN, LOAV, LOWW)_x000D_
    b. ARR LZIB",H24,C,To avoid the sector clipping in LZBB.,,,"LZ,LO",28 JAN 2025,
,,,NM2044,,,,LHCCFIR,"NOT AVBL FOR TFC
1. DEP EP** AND-THEN ARR DT**
2. DEP DT** AND-THEN ARR EP**",H24,C,Summer 2025 to offload Hungary ,,LHCCACC,NM,14 MAR 2025,Summer2025
,,,NM2045,,,,LHCCFIR,"NOT AVBL FOR TFC
1. DEP (LRTR, LROP) AND-THEN ARR LE**
2. DEP LE** AND-THEN ARR (LRTR, LROP)",H24,C,Summer 2025 measure to offload Hungary ,,LHCCACC,NM,14 MAR 2025,Summer2025
,,,NM2046,,,,LHCCFIR,"NOT AVBL FOR TFC
1. DEP (LC**, LBSF, LT** EXC (LTCG, LTAC, LTCC, LTAU ,LTFH, LTCB, LTAF, LTFM, LTFJ)) AND-THEN ARR EDDM_x000D_
2. DEP EDDM AND-THEN ARR (LC**, LBSF, LT** EXC (LTCG, LTAC, LTCC, LTAU ,LTFH, LTCB, LTAF, LTFM, LTFJ))",H24,C,Summer 2025 measures to offload Hungary ,"Possible suspension on D-1 due to convective weather
To be monitored with regards to impact on LD",LHCCACC,NM,14 MAR 2025,Summer2025
,,,NM2047,,,,EDYYBUTA,"NOT AVBL FOR TFC
DEP EGBB AND-THEN ARR EDDF","(04:00-23:00)_x000D_
",C,"Summer 2025 to offload Brussels sector group.
Alternative route can be planned via REDFA.",,EDYYACC,NM,14 MAR 2025,Summer2025
,,,NM2048,,,,EDYYBUTA,"NOT AVBL FOR TFC
DEP EGCC AND-THEN ARR EDDF",(04:00-23:00),C,"Summer 2025 to offload Brussels sector group.
Alternative route can be planned via REDFA.",,EDYYUACC,NM,14 MAR 2025,Summer2025
,,,NM2049,,,,EDYYBUTA,"NOT AVBL FOR TFC
DEP EGGP AND-THEN ARR EDDF","(04:00-23:00)_x000D_
",C,"Summer 2025 to offload Brussels sector group.
Alternative route can be planned via REDFA.",,EDYYACC,NM,14 MAR 2025,Summer2025
,,,NM2053,,,,EDYYBUTA,"NOT AVBL FOR TFC
DEP EDDF AND-THEN ARR (LONDON_SOUTH_GROUP EXC EGKK)",(04:00-23:00),C,"Summer 2025 to offload Brussels sector group.
Alternative route can be planned via OBOKA.",,EDYYACC,NM,14 MAR 2025,Summer2025
,,,NM2057,,,,"(UTEKA, DOLAP, OKANA)","NOT AVBL FOR TFC
DEP LR**",H24,C,To reduce LBSRSAA0 sector complexity in Bulgaria.,Start date was advanced from 15 May 2025 to 17 Apr 2025,LBSRACC,NM,29 MAR 2025,Summer2025
,,,NM2059,,,,LETNI,"NOT AVBL FOR TFC
DEP (LR**, LB** EXC LBSF) AND-THEN ARR (LG** EXC LGPZ, LGKR, LGKF, LGZA)",H24,C,To reduce complexity in LB,Start date was advanced from 15 May 2025 to 17 Apr 2025,LBSRACC,NM,29 MAR 2025,Summer2025
,,,NM2061,,,,VELBA,"NOT AVBL FOR TFC
DEP (LG** EXC LGPZ, LGKR, LGKF, LGZA) AND-THEN ARR (LR**, LU**)","H24_x000D_
",C,To reduce the complexity in LBSRSWA0. Concerned traffic may route VIA ATFIR or outside LB.,Start date was advanced from 15 May 2025 to 17 Apr 2025,LBSRACC,NM,29 MAR 2025,Summer2025
,,,NM2071,,,,LHCCEAST,"NOT AVBL FOR TFC
DEP (LBSF, LTAC) AND-THEN ARR (EDDK, EDDL, EDLP) EXC FLT-TYPE (M)",H24,C,To protect LHCCEN sector.,,LHCCACC,NM,14 MAR 2025,Summer2025
,,,NM2072,,,,LHCCEAST,"NOT AVBL FOR TFC
DEP (LG** EXC LGKO) AND-THEN ARR (EDDB, EDDC)",H24,C,Summer 2025 measure to protect LHCCEN sector.,,LHCCACC,NM,14 MAR 2025,Summer2025
,,,NM2073,,,,LHCCEAST,"NOT AVBL FOR TFC
DEP LBSF AND-THEN ARR (EGSS, EGGW, EIDW, MANCHESTER_GROUP, SCOTTISH_GROUP)",H24,C,Summer 2025 measure to protect LHCCEN sector.,,LHCCACC,NM,14 MAR 2025,Summer2025
,,,NM2075,,,,"(EDUUUTAS, LHCCWS, EDMMCTAW)","NOT AVBL FOR TFC
DEP (MANCHESTER_GROUP, SCOTTISH_GROUP, EGTC, EGUN, EGUL, EGNX, EGNT, EIDW, EH**) AND-THEN ARR (LTBA, LTFM, LTFJ, LTBY, LTAU, LTAG, LTAC) EXC FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,To avoid critically loaded listed sectors in EDUUU and reduce complexity in LHCC,Possible suspension on D-1 due to convective weather,"EDUUUACC, LHCCACC",NM,14 MAR 2025,Summer2025
,,,NM2076,,,,"(EDUUUTAS, LFEEURMN, EDMMCTAW, EDYYBUTA)","NOT AVBL FOR TFC
DEP (MANCHESTER_GROUP, SCOTTISH_GROUP, EGTC, EGUN, EGUL, EGNX, EGNT, EIDW, EH**) AND-THEN ARR (LR**,LHBP) EXC _x000D_
1. FLT-TYPE (M)_x000D_
2. DEP (EHEH, EHBK)",(03:00-22:00),C,"To avoid critically loaded listed sectors.
Some traffic may use routes  via TIVUN and then OKG/ENITA or via NOMKA, EDUUSAL1A or north of.",,EDUUUACC,NM,06 MAY 2025,Summer2025
,,,NM2077,,,,"(EDUUUTAS, EDMMCTAW, EDYYBUTA)","NOT AVBL FOR TFC
DEP (MANCHESTER_GROUP, SCOTTISH_GROUP, EGTC, EGUN, EGUL, EGNX, EGNT, EIDW, EH**) AND-THEN ARR (OI**, OM**, OR**, OS**, OT**, OA**, OP**, OOMS, OEAH, OEDR, OEPS, OERY, OETH) & VIA (LRBBFIR, LBSRFIR) EXC FLT-TYPE (M)",(03:00-22:00),C,"To avoid critically loaded listed sectors.
Traffic is expected to route outside EDUUUTAS via OKG/ENITA or preferably via NOMKA, EDUUSAL1A or north of.",Possible suspension on D-1 due to convective weather,EDUUUACC,NM,06 MAY 2025,Summer2025
,,,NM2078,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
1. DEP EF** AND-THEN  ARR (LE**, LI**) EXC
    a. DEP EFHK AND-THEN ARR (LEMG, LIMC)
2. DEP EF** AND-THEN ARR (GM**, LP** EXC LPMA)
3. EXC FLT-TYPE(M)","(03:00-22:00)_x000D_
",C,Network Measure 2024 - to offload core area ,,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2079,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
1. DEP (LE**, LI**, LP**, GM**) EXC DEP (LIM*, LPMA) AND-THEN  ARR (EF**, EE**, EV**, EY**, EP**) EXC ARR (EPWA, EPMO, EPPO) _x000D_
    a. EXC DEP LEAL AND-THEN ARR EFHK_x000D_
    b. EXC FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,"Network Measure 2025 - to offload EDUUUTAS
Traffic is expected to route VIA EDUUUTAW (i.e. via LOKTA) or west of, or VIA LO",,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2082,,,,"(EDUUUTAS, EDMMCTAW, EDYYBUTA)","NOT AVBL FOR TFC
DEP LT** AND-THEN  ARR (SCOTTISH_GROUP, MANCHESTER_GROUP, EHAM) & ENG-TYPE (J) EXC FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,"Network Measure 2025 - to offload EDUUUTAS during Summer 2025.
","LHCCWS  sector could be added to the Point or Airspace column as of 12 Jun depending on the situation.
Possible suspension on D-1 due to convective weather",EDUUUACC,NM,06 MAY 2025,Summer2025
,,,NM2083,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
DEP (LIPX, LIPZ, LIM*) AND-THEN ARR EG** EXC FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,"Network Measure 2025 - to offload EDUU. 
See also NM4001 capping certain city-pairs at FL360.",Possible suspension on D-1 due to convective weather,"EDUUUACC, EDMMACC",NM,14 MAR 2025,Summer2025
,,,NM2084,,,,"(EDUUUTAS, LFEEHNR, EDMMCTAW)","NOT AVBL FOR TFC
DEP LG** AND-THEN ARR EGKK EXC FLT-TYPE (M)",(03:00-22:00),C,"Network Measure 2024 - to offload EDUU
Concerned traffic shall plan a descent within France in order to avoid vertically the LFEEHNR sector. (i.e. descend below FL365 at ROTSI or before)","Possible suspension on D-1 due to convective weather
","EDUUUACC, LFEEACC",NM,14 MAR 2025,Summer2025
,,,NM2087,,,,"(EDUUUTAS, EDMMCTAW, EDYYBUTA)","NOT AVBL FOR TFC
DEP (LH**, LB**, LZIB) AND-THEN ARR (EGSS, EGGW, EIDW, MANCHESTER_GROUP, SCOTTISH_GROUP) EXC FLT-TYPE (M)",(03:00-22:00),C,"Network Measure 2025 - to offload EDUUUTAS
Traffic should route via OKG or north of.",Possible suspension on D-1 due to convective weather,EDUUUACC,NM,06 MAY 2025,Summer2025
,,,NM2088,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
DEP (LH**, LB**) AND-THEN  ARR EHAM EXC FLT-TYPE(M)",(03:00-22:00),C,"Network Measure 2025 - to offload EDUUUTAS
Traffic should route via RAPET or north of.","
",EDUUUACC. EDMMACC,NM,14 MAR 2025,Summer2025
,,,NM2089,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
DEP (LIR*, LIC*, LIB*, LIE*, DT**, LFK*) AND-THEN ARR LKPR EXC FLT-TYPE (M)",(03:00-22:00),C,"Network Measure 2025 - to offload EDUUUTAS.
Traffic is expected to route VIA MALUG-BUDEX or East of that.",,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2091,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
DEP (LEAM, LEBL, LEIB, LEMG, LEMH, LEPA, LEVC) AND-THEN ARR EDDB EXC FLT-TYPE (M)",(03:00-22:00),C,Network Measure 2025 - to offload core EDUU,"
","EDUUUACC, EDMMCACC",NM,14 MAR 2025,Summer2025
,,,NM2092,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
DEP EDDB AND-THEN ARR (LE**, LIR*, LIC*, LIB*, LIE*, DT**) EXC FLT-TYPE (M)",(03:00-22:00),C,"Network Measure 2025 - to offload EDUUUTAS
Traffic is expected to route VIA EDUUUTAW (i.e via NATOR) or via more Eastern routes via LO-LK.","
",EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2094,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
ARR EDDB & VIA (LOVVN17, LOVVB17) EXC FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,"To  off-load EDUU South -DON- sector, also in addition to NM2091(sector, flow and dates).
Traffic is expected to route via LKAA.",,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2095,,,,"(EDUUCHI1K, EDUUALP1L, EDMMFUE)","NOT AVBL FOR TFC
DEP (BKPR, LW**, LDSP, LDZD, LDDU, LG**, LL**, LI**, HE**, LTAI, LTBS, LTBJ, LTFE, LTCG, LTAN) AND-THEN ARR LFSB EXC FLT-TYPE(M)","MON (03:00-06:30) & (15:00-22:00) & _x000D_
TUE-THU (03:00-06:00) & (15:00-22:00) & _x000D_
FRI (03:00-06:00) & (10:00-22:00) & _x000D_
SAT-SUN (03:00-22:00)_x000D_
",C,"To offload critical sectors in EDUU during Summer, re-route via LI-LS interface.",,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2096,,,,"(EDUUUTAS ,  EDMMCTAW)","NOT AVBL FOR TFC
DEP EDDB AND-THEN ARR (LIPE, LIME) EXC_x000D_
1. VIA SIMBA_x000D_
2. FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,"To offload EDUUUTAS.
Traffic is expected to route via EDUUUTAW or via LKAA
",,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2098,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
1. DEP LKPR_x000D_
    a. ARR (LEAM, LEMG, LEZL, LP**, GC**, DA**, DT**, LM**, LD**) EXC FLT-TYPE (M)_x000D_
    b. VIA LIBBCTA EXC FLT-TYPE(M)","(03:00-22:00)_x000D_
",C,"To offload critical sectors in EDUU during Summer.
Use route options via LK-LO interface or OKG  or north off and then via EDUUUTAW. ",,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2101,,,,"(LFRRZU, LFEEHYR)","NOT AVBL FOR TFC
DEP EHAM AND-THEN ARR (LEBL, LEMH, LEBB, LESO, LF**)","DYNAMIC_x000D_
",C,"Dynamic management. During the applicability traffic shall file FL355 max until DITAL or DEPOM or ARKIP. i.e. FL350 until clear of sector LFEER and LFRRZ
",EDYY: Only activated until 18:00 max.,"LFEEACC, LFRRACC",NM,14 MAR 2025,Summer2025
,,,NM2102,,,,"(LFRRZI, LFRRZU, LFEEKHR)","NOT AVBL FOR TFC
DEP (EHEH, EHRD)","(09:00-18:00)_x000D_
",C,Scenario FL2KHRZI made permanent. This traffic shall file FL335 max until DITAL or DEPOM or ARKIP. i.e. FL330 until clear of sector LFEER and LFRRZ,,"LFEEACC, LFRRACC ",NM,14 MAR 2025,Summer2025
,,,NM2103,,,,LFEEHYRZU,"NOT AVBL FOR TFC
DEP EHAM  EXC ARR (S***, M***, T***, D***)","(05:00-07:30)_x000D_
",C,RAD version of scenario FL2HYRZU due to daily application. This traffic shall file below FL365 until DITAL or DEPOM or ARKIP to keep clear of LFEEHYRZU sector,,"LFEEACC,  LFRRACC",NM,14 MAR 2025,Summer2025
,,,NM2106,,,,SITET,"NOT AVBL FOR TFC
DEP (EGBB, EGCC, EGNX) AND-THEN ARR LEPA","(05:00-08:00)_x000D_
",C,East shift of traffic to relieve the concerned airspaces.,,LFRRACC,NM,10 MAR 2025,Summer2025
,,,NM2107,,,,"(LFRRN, LFRRG)","NOT AVBL FOR TFC
1. DEP (LP**, GC**) AND-THEN ARR (EG** EXC ARR (EGSS, EGGW, EGLC, EGMC)) EXC TYP (E170, E75S, E75L, E190, E195)_x000D_
2. DEP  (EG** EXC DEP (EGSS, EGGW, EGLC, EGMC)) AND-THEN ARR (LP**, GC**) EXC TYP (E170, E75S, E75L, E190, E195)","(08:00-10:00) _x000D_
",C,"West shift of traffic to relieve the concerned airspaces : 
LFRRN, LFRRG
1. Traffic may file via one of the following points : LOTEE/KORUL/BEGAS/BERUX/NILAV
2. Traffic may file via one of the following points : EBOMO/MADEK/LASNO/TAMEL/OMOKO",Will be deactivated when EULFRR7A is activated.,LFRRACC,NM,10 MAR 2025,Summer2025
,,,NM2109,,,,LFRRV,"NOT AVBL FOR TFC
DEP (LE** EXC VALENCIA_GROUP) AND-THEN ARR (EI**, EGA*)",EGD064BZ  NOT ACT,C,"To shift traffic to the west and to offload sector V.   Traffic should file DOLUR, TALIG or AMPOP",,LFRRACC,NM,10 MAR 2025,Summer2025
,,,NM2110,,,,LFRRV,"NOT AVBL FOR TFC
1. DEP SCOTTISH_GROUP AND-THEN ARR (LP**, GC**)_x000D_
2. DEP (LP**, GC**) AND-THEN ARR SCOTTISH_GROUP & VIA KORUL","(05:00-12:00) & (EGD008CZ1, EGD008CZ5, EGD009AZ1, EGD009AZ5, EGD064BZ) NOT ACT_x000D_
",C,"To shift traffic to the west and to offload sector V.   Traffic should file DOLUR, TALIG or AMPOP",,LFRRACC,NM,10 MAR 2025,Summer2025
,,,NM2112,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
1. DEP ES** AND-THEN ARR  (LD**, LG**, LT**, LC**, HE**, LL**) EXC FLT-TYPE (M) _x000D_
2. DEP (LD**, LG**, LT**, LC**, HE**, LL**) AND-THEN ARR ES** EXC FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,Network Measure 2025 - to offload EDUUUTAS ,,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2113,,,,"(EDUUUTAS, EDMMCTAW)","NOT AVBL FOR TFC
DEP LIM* AND-THEN ARR (EF**, EE**, EV**, EY**, EP** EXC (EPWA, EPMO, EPPO)) EXC FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,"Network Measure 2025 - to offload EDUUUTAS
Traffic is expected to route via EDUUUTAW or via LKAA",Possible suspension on D-1 due to convective weather,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2114,,,,"EDUUDON1D, EDUUISA1I","NOT AVBL FOR TFC
1. ARR (LOWW, LHBP, LZIB)_x000D_
    a. EXC DEP EDDS_x000D_
    b. EXC FLT-TYPE (M)","(03:00-22:00)_x000D_
",C,To offload the mentioned sectors in the EDUU,,EDUUUACC,NM,14 MAR 2025,Summer2025
,,,NM2116,,,,EDUUUTAS,"NOT AVBL FOR TFC
DEP LSZH & VIA EPWWFIR EXC FLT-TYPE (M)",(03:00-22:00),C,"To offload critical sectors in EDUU during Summer.
DEP LSZH to North-East via NAS EP can either file via BIRGI and then LO-LK interface or via ETAGO (EDUUUTAW). Route via Munich ACC are also available.",,EDUUUACC,NM,14 MAR 2025,Summer2025
