RAD Application ID,Airspace,"Airspace
Vert. Limit","Time
Applicability","DCT
Horiz. Limit","Cross-border
DCT Limits","ID
DCT limit","ID Not allowed
Cross-border
DCT",Remarks,"Release
Date"
LFBBACC_4,LFBBACC,between FL065..FL195,H24,0NM,Allowed,LFBB2,,,8-Sep-23
LFBBACC_2,LFBBACC,below FL065,H24,50NM,Allowed,LFBB1,-,,8-Sep-23
EDMMACC,EDMMACC,below FL095,H24,"40NM
except ARR/DEP EDD*  0NM",Not allowed,EDMM1,EPED400,,12-Sep-23
LGGGACC,LGGGACC,Below FL305,H24,"0NM
Exemption Type M ",Not allowed,LG1,"LALG400
LGLT400
LGLC400
LGHE400
LGLI400
LGLM400",,15-Sep-23
LGGGACC_FRA,LGGGACC,Above FL305, H24,FRA,Not allowed,-,-,Free Route Airspace,15-Sep-23
LGMDACC,LGMDACC,Below FL305,H24,"0NM
Exemption Type M ",Not allowed,LG1,"LALG400
LGLW400
LGLB400
LGLT400",,15-Sep-23
LGMDACC_FRA,LGMDACC,Above FL305,H24,FRA,Not allowed,-,-,Free Route Airspace,15-Sep-23
EBBUACC_2,EBBUACC,Between FL115..FL245,H24,0NM,"Allowed
except to/from
EHAAACC / EHMCACC
EDGGACC",EB2,"EHEB400
EBED400",,
EBBUACC,EBBUACC,below FL115,H24,50NM,"Allowed
except to/from
EHAAACC / EHMCACC
EDGGACC / EGTTACC / LFFFACC",EB1,"EHEB400
EBED400
EGEB400
LFEB400",,
EDGGACC_2,EDGGACC,above FL095,H24,0NM,"Not allowed
except to/from
LFEEACC, Type M (40NM)",EDGG1,-,,
EDGGACC,EDGGACC,below FL095,H24,40NM,"Not allowed
except to/from
LFEEACC",EDGG2,"EDLF400
EDEB400
EDEH400",EDGGACC without EDGGDUS,07 JUN 2023
EDGGDUS,EDGGDUS,below FL095,H24,"0NM
except for DEP / ARR Dusseldorf_YZ_Group via BAM and/or BOT with 40NM",Not allowed,EDGG3,,to close EDGGDUS airspace for overflights below FL100 but enable ARR/DEP for Dusseldorf_YZ_Group,23 JUN 2021
EDMMACC_3,"EDMMACC
(except EDMMTA)",above FL095,04:00..22:30 (03:00..21:30),"0NM
Exemption Type M - 40NM",Not allowed,EDMM1,EPED400,,05 APR 2023
EDMMACC_2,EDMMACC East,Between FL095..FL245,22:30..04:00 (21:30..03:00),"0NM
Exemption Type M - 40NM",Not allowed,-,-,,05 APR 2023
EDMMACC_FRA,EDMMACC East,Between FL245..FL315,22:30..04:00 (21:30..03:00),FRA,Not allowed,-,-,Free Route Airspace,
EDMMACC_1,EDMMACC South,Between FL095..FL245,22:30..04:00 (21:30..03:00),"0NM
Exemption Type M - 40NM",Not allowed,-,-,,05 APR 2023
EDMMACC_FRA_2,EDMMFRA South,Between FL245..FL315,22:30..04:00 (21:30..03:00),FRA,"Not allowed
except to/ from
LSASACC",-,-,Free Route Airspace,18 OCT 2022
EDMMTA,EDMMTA,below FL095,H24,0NM,Not allowed,EDMM1,-,(AIP Sectors Erding High/Low(EDMMS) & Freising high/low(EDMMN)),05 APR 2023
EDUUFRA_FRA,EDUUFRA East,above FL315,H24,FRA,"Not allowed
except to/ from
1. SECSI FRA 22:30..05:00 (21:30..04:00)
2. EDUUFRA North
3. LSASACC",-,-,Free Route Airspace,18 OCT 2022
EDUUFRA_FRA_3,EDUUFRA North,above FL285,H24,FRA,"Not allowed
except to / from 
1. DK-SE FAB FRA
(only avbl for DEP / ARR DK-SE FAB except via ENOR/EFIN/EETT/EVRR FIRs)
2. EDUUFRA East",-,-,Free Route Airspace,16 FEB 2022
EDUUFRA_FRA_4,EDUUFRA West,above FL245,H24,FRA,"Not allowed
except to/ from
LSASACC",-,-,Free Route Airspace,18 OCT 2022
EDWWACC,EDWWACC,above FL095,04:00..22:30 (03:00..21:30),0NM,Not allowed,EDWW1,"EPED400
EDDS400
EDEH400",,
EDWWACC_2,EDWWACC,Between FL095..FL245,22:30..04:00 (21:30..03:00),0NM,Not allowed,EDWW1,"EDDS400
EDEH400",,
EDWWACC_1,"EDWWACC
(except EDWWDBAN, EDWWDBAS, EDWWDBAD)",below FL095,H24,30NM,Not allowed,EDWW1,"EPED400
EDDS400
EDEH400",,07 JUN 2023
EDWWACC_FRA,EDWWACC East,Between FL245..FL285,22:30..04:00 (21:30..03:00),FRA,Not allowed,-,-,Free Route Airspace,
EDWWDBAD,EDWWDBAD,below FL095,H24,0NM,Not allowed,EDWW1,-,,
EDWWDBAN,EDWWDBAN,below FL095,H24,0NM,Not allowed,EDWW1,-,,
EDWWDBAS,EDWWDBAS,below FL095,H24,0NM,Not allowed,EDWW1,-,,
EDYYUAC_FRA,EDYYUAC,above FL245,H24,FRA,"Not allowed
except to / from DK-SE FAB FRA
(only avbl for DEP / ARR DK-SE FAB except via ENOR/EFIN/EETT/EVRR FIRs)",-,-,"Free Route Airspace
(see EB/ED/EH AIP)",
EETTACC_FRA,EETTACC,above FL095,H24,FRA,"Allowed
NEFAB / DK-SE FAB FRA
Type M ESOSACC",-,-,"Free Route Airspace
(See EE AIP)",
EETTACC,EETTACC,below FL095,H24,No limit,"Not allowed
except to/from
EFESACC",-,"EEUU400
EEEV400
EEDS400",,
EFESACC_FRA,EFESACC,Above FL095,H24,FRA,"Allowed
NEFAB / DK-SE FAB FRA
Type M ESOSACC",-,-,"Free Route Airspace
(See EF AIP)",
EFHKTMA,EFHKTMA,Below FL095,H24,No Limit,No Limit,-,-,,
EFINACC,EFINACC,Below FL095,H24,No limit,"See EF AIP
Allowed to/from
EETTACC
ENBDACC
ESOSACC",,EFUU400,,
EGPXFRA,EGPXFRA,above FL255,H24,FRA,Not Allowed,,,EGPXACC FRA airspace,29 OCT 2021
EGPXNFRA,EGPXNFRA,Between FL245..FL255,H24,"0NM
except descending out of/climbing into EGPXFRA",Not Allowed,,,"EGPXACC Non-FRA airspace vertically below EGPX FRA airspace
FL250 is closed for cruising except if routeing solely on the ATS route structure.  ",29 OCT 2021
EGPXNFRA_3,EGPXNFRA,below FL105,H24,100NM,"Allowed
except to/from
EHAAACC / EHMCACC Above FL055",,,EGPXACC Non-FRA airspace vertically below EGPX FRA airspace,29 OCT 2021
EGPXNFRA_2,EGPXNFRA,Between FL105..FL245,H24,50NM,"Allowed
except to/from
EHAAACC / EHMCACC",,,EGPXACC Non-FRA airspace vertically below EGPX FRA airspace,29 OCT 2021
EGTTFRAW_FRA,EGTTFRAW,above FL245,H24,FRA,Not Allowed,,,EGTTACC FRA airspace,14 FEB 2023
EGTTNFRA,EGTTNFRA,above FL245,H24,0NM,Not Allowed,,,EGTTACC Non-FRA airspace (including EGPX sectors laterally outside of the EGPXFRA boundaries),29 OCT 2021
EGTTNFRA_4,EGTTNFRA,Between FL105..FL245,H24,0NM,"Allowed
except to/from
EHAAACC / EHMCACC",EG2,EHEG400,EGTTACC Non-FRA airspace (including EGPX sectors laterally outside of the EGPXFRA boundaries but not including the EGTTNFRAW airspace),14 FEB 2023
EGTTNFRA_2,EGTTNFRA,below FL105,H24,100NM,"Allowed
except to/from
EHAAACC / EHMCACC Above FL055",,EHEG400,EGTTACC Non-FRA airspace (including EGPX sectors laterally outside of the EGPXFRA boundaries but not including the EGTTNFRAW airspace),14 FEB 2023
EGTTNFRAW,EGTTNFRAW,Between FL105..FL245,H24,0NM,Allowed,,,EGTTACC Non-FRA airspace vertically below EGTTFRAW airspace,14 FEB 2023
EGTTNFRAW_2,EGTTNFRAW,below FL105,H24,100NM,Allowed,,,EGTTACC Non-FRA airspace vertically below EGTTFRAW airspace,14 FEB 2023
EHAAACC_2,EHAAACC,Between FL055..FL245,H24,0NM,Not allowed,EH2,"EHEB400
EHED400
EHEG400
EHDS400",,
EHAAACC,EHAAACC,below FL055,H24,50NM,"Not allowed
except to/from
EGTTACC/EGPXACC
below FL055",EH1,"EHEB400
EHED400
EHEG400
EHDS400",,
EHMCACC,EHMCACC,Between FL055..FL245,H24,0NM,Not allowed,EH2,"EHEB400
EHED400
EHEG400
EHDS400",,
EHMCACC_2,EHMCACC,below FL055,H24,50NM,"Not allowed
except to/from
EGTTACC/EGPXACC
below FL055",EH1,"EHEB400
EHED400
EHEG400
EHDS400",,
EIDWACC,EIDWACC,below FL245,H24,50NM,Not allowed,EIDW1,EIEG400,,
EISNACC,EISNACC,below  FL075,H24,500NM,Not allowed,EI2,EIEG400,,
EISNACC_FRA,EISNACC,above  FL075,H24,FRA,Allowed,-,-,Free Route Airspace,
EKDKACC_FRA,EKDKACC,above FL285,H24,FRA,"DK-SE FAB / NEFAB FRA
H24
--------
DK-SE FAB / EDUUUAC North
H24
(only avbl for DEP / ARR DK-SE FAB except via
ENOR/EFIN/EETT/EVRR FIRs)
--------
DK-SE FAB / EDYYUAC
MON..THU 23:00..05:00 (22:00..04:00)
FRI 23:00 (22:00)..MON 05:00 (04:00)
(only avbl for DEP / ARR DK-SE FAB except via
ENOR/EFIN/EETT/EVRR FIRs)
--------
(See EK AIP,ES AIP )",-,-,"Free Route Airspace
(See EK AIP,ES AIP )",
EKDKACC,EKDKACC,Between FL095..FL285,H24,No limit,"Not allowed to/from
EY**ACC
UMKKACC
EP**ACC
ED**ACC
EH**ACC
EG**ACC
--------
Not Alowed to/from
EF**ACC
EE**ACC
EV**ACC
EN**ACC 
except with RFL above FL285 or type Mil
----------------
Not Allowed to/from
EV**ACC
except with RFL above FL285",-,-,,
EKDKACC_2,EKDKACC,below FL095,H24,No limit,"Not Allowed
to/from

EE**ACC
EV**ACC
EY**ACC
UMKKACC
EP**ACC
ED**ACC
EH**ACC
EG**ACC",-,"DSEV400
EDDS400
EPDS400
EYDS400
DSUM400
EEDS400
DSED400",,
ENBDACC_FRA,ENBDACC,Between FL135..FL285,H24,FRA,"Allowed
NEFAB FRA
to/from
DS (with RFL above FL285 or type MIL)",-,-,"Free Route Airspace
(See EN AIP)",
ENBDACC_FRA_2,ENBDACC,above FL285,H24,FRA,NEFAB / DK-SE FAB FRA,-,-,"Free Route Airspace
(See EN AIP)",
ENBDACC,ENBDACC,Between FL095..FL135,H24,No limit,"Allowed
to/from
ENOSACC
EFINACC
DS (with RFL above FL285 or type MIL)",-,"ENBDEF400
ENBDES400
ENBDOB400
ENBDUL400",,
ENBDACC_2,ENBDACC,Below FL095,H24,No limit,"Allowed
to/from
ENOSACC
ENOBOCA
EFINACC
DS",-,ENBDUL400,,
ENOBOCA_FRA,ENOBOCA,Above FL195,H24,FRA,Not allowed,-,-,"Free Route Airspace
(See EN AIP)",
ENOBOCA,ENOBOCA,Below FL195,H24,No limit,"Not allowed between FL095-FL195
Allowed below FL095 to/from
ENBDACC
ENOSACC",-,"ENBDOB400
ENOSOB400
ENOBUU400
ENOBBI400",,
ENOSACC_FRA,ENOSACC,Between FL135..FL285,H24,FRA,"NEFAB FRA
Allowed
to/from
DS (with RFL above FL285 or type MIL)",-,-,"Free Route Airspace
(See EN AIP)",
ENOSACC_FRA_2,ENOSACC,above FL285,H24,FRA,DK-SE FAB / NEFAB FRA,-,-,"Free Route Airspace
(See EN AIP)",
ENOSACC,ENOSACC,Between FL095..FL135,H24,No limit,"Allowed to/from
ENBDACC
BIRDCTA
EGPXACC
DS (with RFL above FL285 or type MIL)",-,-,,
ENOSACC_2,ENOSACC,Below FL095,H24,No limit,"Allowed
to/from
ENBDACC
BIRDCTA
EGPXACC
ENOBOCA
DS",-,-,,
EPWWACC_FRA,EPWWACC,above FL095,H24,FRA,Not allowed,-,-,"Free Route Airspace
(See EP AIP)",
EPWWACC,EPWWACC,below FL095,H24,No limit,Not allowed,EP2,"EPED400
EPDS400
EPEY400
EPU 400
EPUK400
EPUM400",,
ESMMACC_FRA,ESMMACC,above FL285,H24,FRA,"DK-SE FAB / NEFAB FRA
H24
--------
DK-SE FAB / EDUUUAC North
H24
(only avbl for DEP / ARR DK-SE FAB except via
ENOR/EFIN/EETT/EVRR FIRs)
--------
(See ES AIP )",-,-,Free Route Airspace,
ESMMACC_2,ESMMACC,below FL095,H24,No limit,"Not Allowed
to/from

EE**ACC
EV**ACC
EY**ACC
UMKKACC
EP**ACC
ED**ACC",-,"DSEV400
EDDS400
EPDS400
EYDS400
DSUM400
EEDS400
DSED400",,
ESMMACC,ESMMACC,Between FL095..FL285,H24,No limit,"Not allowed to/from
EY**ACC
UMKKACC
EP**ACC
ED**ACC
--------
Not Alowed to/from
except with RFL above FL285 or type Mil
EF**ACC
EE**ACC
EV**ACC
EN**ACC ",-,-,,19 MAR 2021
ESOSACC_FRA,ESOSACC,above FL285,H24,FRA,"DK-SE FAB / NEFAB FRA
H24
--------
(See ES AIP )",-,-,Free Route Airspace,
ESOSACC_2,ESOSACC,below FL095,H24,No limit,"Not Allowed
to/from

EE**ACC
EV**ACC",-,DSEV400,,
ESOSACC,ESOSACC,Between FL095..FL285,H24,No limit,"Not Alowed to/from
except with RFL above FL285 or type Mil
EF**ACC
EE**ACC
EV**ACC
EN**ACC ",-,-,,19 MAR 2021
EVRRACC,EVRRACC,below FL095,H24,200NM,Not allowed,EV2,"DSEV400
EVEE400
EVUL400
EVUM400
EVEY400",,
EVRRACC_FRA,EVRRACC,above FL095,H24,FRA,NEFAB DK-SE FAB FRA,-,-,"Free Route Airspace
(See EV AIP)",
EYVCACC_FRA,EYVCACC,above FL095,H24,FRA,Not allowed,-,-,Free Route Airspace,
EYVCACC,EYVCACC,below FL095,H24,No limit,Not allowed,-,"EYDS400
EYEV400
EYUM400
EPEY400",,
GCCCACC,GCCCACC,Below FL305,H24,0NM,Not allowed,GC1,LPGC400,,06 APR 2022
GCCCACC_FRA,GCCCACC,Above FL305,H24,FRA,,,,,06 APR 2022
GMACACC,GMACACC,Between GND..FL195,H24,"0NM
",Not allowed,GMAC1,"GMLE400
GMLP400
GMGC400",,20 NOV 2021
GMACACC_2,GMACACC,Above FL195,06:00..22:00,"0NM
",Not allowed,GMAC2,"GMLE400
GMLP400
GMGC400",,20 NOV 2021
GMACACC_FRA,GMACACC,Above FL195,22:00..06:00,FRA,Not allowed,-,-,Free Route Airspace,
GMMMACC,GMMMACC,No Limit,H24,"0NM
Except 
Type M With ARR/DEP GMMMFIR  - 200NM",Not allowed,GMMM1,"GMLE400
GMGC400
GMDA400",,06 NOV 2021
KFOR,KFOR,Above FL205,H24,0NM,Not allowed,LHKR1,"LHKRLA400
LHKRLW400
LHKRLY400",,
LAAAACC,LAAAACC,Below FL195,H24,0NM,Not allowed,LA1,"LALW400
LGLA400
LALY400",,
LAAAACC_FRA,LAAAACC,ABV FL195,H24,FRA,Allowed to/from all SECSI FRA ACCs,-,-,"Free Route Airspace
(see AIP Albania)",25 JUL 2023
LBSFTMA,LBSFTMA,No Limit,H24,0NM,Not allowed,LBSF1,-,,
LBSRACC,LBSRACC,Below FL175,H24,0NM,Not allowed,LB1,-,,
LBSRACC_FRA,LBSRACC,Above FL175,H24,FRA,"Not allowed
 except to/from LRBBACC",-,-,"Free Route Airspace
(see LB AIP)",
LCCCACC,LCCCACC,BLW FL205,H24,0NM, Not allowed,LC1,,,25 JAN 2023
LCCCACC_3,LCCCACC,BTN FL205..FL660,04:30 - 21:30 (03:30 - 20:30 ),0NM,Not allowed,,,,25 JAN 2023
