DEP ID,DEP AD,"Last PT SID /
SID ID",DCT DEP PT,DEP FPL Options,"DEP Time
Applicability","DEP Operational
Goal",DEP Remarks,NAS / FAB,"Release
Date"
EG5719,EGPF,FOYLE,FOYLE,"NOT AVBL FOR TFC
Via (FINDO, GRICE, PTH)",H24,To reduce sector complexities.  Traffic via ADN shall file the PTH SID.  Traffic via AGPED/NATEB/MADAD/SAB shall file the NORBO/TLA SIDs.,,EG,20 MAR 2020
EG5720,EGPF,PTH,PTH,"NOT AVBL FOR TFC
Via (FINDO, GRICE)",H24,To reduce sector complexities.  Traffic via ADN shall file the PTH SID.  Traffic via AGPED/NATEB/MADAD/SAB shall file the NORBO/TLA SIDs.,,EG,20 MAR 2020
LR5574,LROP/LRBS,IDARU,,"NOT AVBL FOR TFC
DEP LROP/LRBS","MON..FRI
07:00..21:00
(06:00..20:00)","To maintain segregated traffic flows and reduced complexity during FRA operation
",,LR,20 MAR 2020
ES5515,ESSA / ESSB,PETEV,,"NOT AVBL FOR TFC
Above FL095
DEP ESSA / SB
Via sect:EKDKA, EKDKUA, EKDKV, EKDKUV 
------
NOT AVBL FOR TFC
Above FL095
DEP ESSA / SB
Except 
1. Via PETEV N872 ELPAX
2. ARR  STOCKHOLM_AREA",H24,"To facilitate correct DEP traffic flow.
Stockholm TMA",,ES,17 APR 2020
LG5509,LGAV,DDM,,"NOT AVBL FOR TFC
1.Via DDM UM619 VARDI 
with RFL above FL305
2. via KOR",H24,"1.To prevent traffic from flying in undefined airspace.
2.Traffic via (PIKAD,RILIN,RIMAX) and/or LGGGKRK shall file KOR SID",,LG,21 MAR 2020
LI5554,LIDT,,TNT,"ONLY AVBL FOR TFC
eng-type helicopter",H24,To facilitate flight planning for pins,,LI,24 MAR 2020
ES5509,FARRIS_GROUP /  OSLO_GROUP,BOMGU,,"NOT AVBL FOR TFC
Above FL095
DEP FARRIS_GROUP, OSLO_GROUP
Except 
1. Via BOMGU [Y440 SABAK] / [Z132 LATKU L727 NEGIL] / [Z132 LATKU L996 KELIN]
2. ARR SATENAS_GROUP, KARLSTAD_GROUP",H24,"To facilitate correct DEP traffic flow
Oslo / Farris TMA",,ES,15 MAY 2020
LE5625,LEIB,INSUB,,"NOT AVBL FOR TFC
Via 
1. PTC UZ238 CDP
2. PTC UN851 MHN",H24,To avoid dogleg,,LE,17 APR 2020
LE5755,LEPA,NELUX,,"ONLY AVBL AND COMPULSORY FOR TFC
ARR LEIB",H24,To allocate correctly departing traffic,,LE,15 MAY 2020
LE5687,LXGB,,GOSOS,"ONLY AVBL FOR TFC
Type M",H24,"No SID available, expect ATC instructions via PIMOS. Subject to LED's activity along T/UT-100 in Sevilla ACC airspace.",,LE,15 MAY 2020
LE5633,LEJR,,JRZ,"ONLY AVBL FOR TFC
ARR LEJR",H24,"Traffic allocation within Sevilla TMA
No SID available, expect ATC instructions.",,LE,15 MAY 2020
LE5630,LEJR,MAR,,"ONLY AVBL FOR TFC
ARR LEGR/JR/MG
------
COMPULSORY FOR TFC
ARR LEGR/MG",H24,Traffic allocation within Sevilla TMA,,LE,15 MAY 2020
LE5686,LELC,,ALT,"NOT AVBL FOR TFC
via MITOS",H24,"No SID available 
via ALT for RWY23L expect routing via PALOS-ALT",,LE,15 MAY 2020
LL5517,LLHS,,TAPUZ,"ONLY AVBL FOR TFC
DEP LLHS and then LCCCFIR
Below FL265",H24,forcing traffic via mandatory rte,,LL,26 APR 2020
GC5564,GCLP,,LPC,"ONLY AVBL FOR TFC
ARR GCLP / LB",H24,"Traffic allocation within Canarias TMA
No SID available, expect ATC instructions",,GC,06 MAY 2020
GC5558,GCXO,LPC,,"ONLY AVBL AND COMPULSORY FOR TFC
ARR GCLB/LP",H24,Traffic allocation within Canarias TMA,,GC,06 MAY 2020
GC5567,GCRR,LORPO,,"ONLY AVBL AND COMPULSORY FOR TFC
ARR GCLB/LP/TS",H24,Traffic allocation within Canarias TMA,,GC,06 MAY 2020
GC5574,GCFV,LORPO,,"ONLY AVBL AND COMPULSORY FOR TFC
ARR GCLB / LP / TS / GM",H24,Traffic allocation within Canarias TMA,,GC,06 MAY 2020
GC5580,GCLA,LPC,,"ONLY AVBL AND COMPULSORY FOR TFC
ARR GCLB/LP",H24,Traffic allocation within Canarias TMA,,GC,06 MAY 2020
LS5550,LSMD,,"VIBAX,LS110, MD503, MD505, MD516","ONLY AVBL FOR TFC
eng-type helicopter",H24,"To provide conectivity from AD to LFN.
Other traffic shall file via SID's to ZUE, WIL or ASGED.",,LS,10 MAY 2020
ES5511,FARRIS_GROUP,MOGLU,,"NOT AVBL FOR TFC
Above FL095
DEP FARRIS_GROUP
Except 
1. Via MOGLU L727 [GETPA L727/L996 LATKU L727 NEGIL] / [GETPA L727/L996 LATKU L996 KELIN]
2. ARR SATENAS_GROUP, KARLSTAD_GROUP",H24,"To facilitate correct DEP traffic flow
Oslo / Farris TMA",,ES,18 JUN 2020
LS5578,LSZG    ,BIRKI,,"ONLY AVBL FOR TFC
arr LSZB",H24,"BIRKI-SIDs are only available for FLTs LSZG-LSZB, other traffic shall file via ARVAN or WIL SID.",,LS,26 JUN 2020
EP5520,EPSC,,"GOMEX,IRGET, PESEL, VAVUN","ONLY AVBL FOR TFC
with RFL below FL95",H24,To allow connections for EPSC departures for GA.,Traffic with RFL above FL95 should be planned via last point of SID procedures.,EP,07 AUG 2020
LG5511,LGAV,KOR,,"NOT AVBL FOR TFC
Via KOR L/UL613 YNN when FL115..FL305 is not available",H24,system constraints,,LG,31 JUL 2020
EP5517,EPRZ,,"ATKEK,ETITI,GOVRI,LUXAR,VELAX","ONLY AVBL FOR TFC
With RFL below FL095",H24,To allow connection for GA below FL95,,EP,07 AUG 2020
LS5564,LSZH,ZUE,,"COMPULSORY FOR TFC
ARR EDNY, LSZR, LSMD",H24,To avoid inventive flight planing. Traffic shall file via ZUE SIDs.,,LS,02 OCT 2020
LS5568,LSHH,,"UMTOP,LS601, HH704","ONLY AVBL FOR TFC
eng-type helicopter",H24,"To provide connectivity to LFN from hospital.
HH704 is not connected to any RTE network.",,LS,06 AUG 2020
LK5518,PRAGUE_GROUP,,BEKVI,"ONLY AVBL AND COMPULSORY FOR TFC
ARR LKPD/CV",H24,Direct planning for close airports,,LK,22 JAN 2021
LK5520,PRAGUE_GROUP,,OKL,"ONLY AVBL FOR TFC
ARR PRAGUE_GROUP, TMAPRVFR_GROUP",H24,Direct planning for close airports,,LK,22 JAN 2021
LK5522,LKKB,,BULEK,"ONLY AVBL FOR TFC
1. ARR LKHK
2. Flights Type M",H24,Direct planning for close airports and military flights,,LK,22 JAN 2021
LK5541,LKVO,,BULEK,"ONLY AVBL FOR TFC
1. via BEFRE, TOMTI, LAGAR
2. ARR LKVFR_GROUP",H24,Implementation of FRA,,LK,22 JAN 2021
LF5917,EGJA,,LERAK,"NOT AVBL FOR TFC
via LFFRANW
Except via [LERAK G27 BADUR] And then NENEM,DELOG,BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5918,EGJA,,TUNIT,"NOT AVBL FOR TFC
via LFFRANW
Except via ALUTA,LARLA,LIZAD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5919,EGJB,LERAK,,"NOT AVBL FOR TFC
via LFFRANW
Except via [LERAK G27 BADUR] And then NENEM,DELOG,BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5920,EGJB,,TUNIT,"NOT AVBL FOR TFC
via LFFRANW
Except via ALUTA,LARLA,LIZAD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5921,EGJJ,LERAK,,"NOT AVBL FOR TFC
via LFFRANW
Except via [LERAK G27 BADUR] And then NENEM,DELOG,BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5922,EGJJ,TUNIT,,"NOT AVBL FOR TFC
via LFFRANW
Except via ALUTA,LARLA,LIZAD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5923,LFEC,,GU,"NOT AVBL FOR TFC
via LFFRANW
Except via
1. [GU DCT QPR] And then ADSET,NENEM,DELOG,BALDA,LOTEE,KORUL
2. [GU DCT ROSPO] And then KORER
3. [GU DCT SOMEN] And then JSY,OTOFE",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5925,LFEC,,MATER,"NOT AVBL FOR TFC
via LFFRANW
Except via ALUTA,LARLA,ADRUD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5926,LFRB,QPR,,"NOT AVBL FOR TFC
via LFFRANW
Except via ADSET,NENEM,DELOG,BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5927,LFRB,MATER,,"NOT AVBL FOR TFC
via LFFRANW
Except via UMOXA,REGHI,ALUTA,LARLA,ADRUD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5929,LFRB,,SOMEN,"NOT AVBL FOR TFC
via LFFRANW
Except via JSY,OTOFE",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5930,LFRB,ROSPO,,"NOT AVBL FOR TFC
via LFFRANW
Except via KORER",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5931,LFRC,,JSY,"NOT AVBL FOR TFC
via LFFRANW
Except via
1. [JSY G27 BADUR] And then NENEM,DELOG,BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI
2. [JSY N160 TUNIT] And then ALUTA,LARLA,LIZAD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5932,LFRD,,BADUR,"NOT AVBL FOR TFC
via LFFRANW
Except via
1. DELOG,BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI
2. [BADUR G27 ARE] And then ALUTA,LARLA",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5934,LFRH,,QPR,"NOT AVBL FOR TFC
via LFFRANW
Except via
1.BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI
2.TOFLO, ITAFI with type M",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5936,LFRH,LENSU,,"NOT AVBL FOR TFC
via LFFRANW
Except via FIFUC",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5937,LFRJ,,QPR,"NOT AVBL FOR TFC
via LFFRANW
Except via
1.ADSET,NENEM,DELOG,BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI
2.TOFLO,ITAFI with type M",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5938,LFRJ,,MATER,"NOT AVBL FOR TFC
via LFFRANW
Except via UMOXA,REGHI,ALUTA,LARLA,ADRUD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5940,LFRJ,,SOMEN,"NOT AVBL FOR TFC
via LFFRANW
Except via JSY,OTOFE",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5941,LFRJ,,ROSPO,"NOT AVBL FOR TFC
via LFFRANW
Except via KORER",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5942,LFRL,,QPR,"NOT AVBL FOR TFC
via LFFRANW
Except via ADSET,NENEM,DELOG,BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX,UMOXA,REGHI",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5944,LFRL,,MATER,"NOT AVBL FOR TFC
via LFFRANW
Except via ALUTA,LARLA,ADRUD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5945,LFRL,,ARE,"NOT AVBL FOR TFC
via LFFRANW
Except via FEJAC",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5946,LFRL,,ROSPO,"NOT AVBL FOR TFC
via LFFRANW
Except via KORER",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5947,LFRN,,ARE,"NOT AVBL FOR TFC
via LFFRANW
Except via ALUTA,LARLA,DOLUR",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5948,LFRO,,QPR,"NOT AVBL FOR TFC
via LFFRANW
Except via ADSET,NENEM,DELOG,BALDA,LOTEE,KORUL",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5950,LFRO,,ROSPO,"NOT AVBL FOR TFC
via LFFRANW
Except via KORER",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5951,LFRQ,,IDRIK,"NOT AVBL FOR TFC
via LFFRANW
Except via ADSET,NENEM,DELOG",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5952,LFRQ,,QPR,"NOT AVBL FOR TFC
via LFFRANW
Except via UMOXA,REGHI",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5954,LFRQ,,ROSPO,"NOT AVBL FOR TFC
via LFFRANW
Except via KORER",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5956,LFRT,,NORBU,"NOT AVBL FOR TFC
via LFFRANW
Except via ALUTA,LARLA,ADRUD",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5957,LFRU,,QPR,"NOT AVBL FOR TFC
via LFFRANW
Except via ADSET,NENEM,DELOG,BALDA,LOTEE,KORUL",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5959,LFRU,,SOMEN,"NOT AVBL FOR TFC
via LFFRANW
Except via JSY,OTOFE",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5960,LFRU,,ROSPO,"NOT AVBL FOR TFC
via LFFRANW
Except via KORER",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5962,LFRV,,BAGAD,"NOT AVBL FOR TFC
via LFFRANW
Except via [BAGAD H34 OXIDA DCT QPR] And then LOTEE,KORUL,UMOXA,REGHI",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5963,LFRQ,,KEREB,"NOT AVBL FOR TFC
via LFFRANW
Except via BALDA,LOTEE,KORUL,RIVAK,TIVLU,LAPEX",H24,To organize departing traffic in LFFRANW,,LF,29 OCT 2021
LF5978,LFMN,EPOLO,,"ONLY AVBL FOR TFC
via MAMES/NILDU/VATIR",H24,Flow organization,,LF,02 OCT 2020
EN5570,ENGM,OKSAT,,"NOT AVBL FOR TFC
with-rfl-above FL310",H24,Avoid manual processing of FPLs,,EN,02 OCT 2020
EG5536,EGLC,,DET,"ONLY AVBL FOR TFC
ARR EGKB/MC/TO",H24,To enforce standard routeings.,,EG,30 OCT 2020
EP5526,EPRZ,,RSW,"ONLY AVBL FOR TFC
with arr EPRZ",H24,To allow connections for training/test flights departing and arriving from/at EPRZ,,EP,30 OCT 2020
LS5584,LSNG,,LS112,"ONLY AVBL FOR TFC
eng-type helicopter",H24,To provide connectivity from AD to LFN.,,LS,30 OCT 2020
LS5585,LSNF,,DEGES,"ONLY AVBL FOR TFC
eng-type helicopter",H24,To provide connectivity from AD to LFN.,,LS,30 OCT 2020
LS5586,LSHG,,LS112,"ONLY AVBL FOR TFC
eng-type helicopter",H24,To provide connectivity from AD to LFN.,,LS,30 OCT 2020
UK5553,UKHK,,"DEKAD, PEKIT",,H24,To facilitate flight planning for departure. ,,UK,27 NOV 2020
LE5702,LEAB,,ASTRO,"COMPULSORY FOR TFC
Via LASPO
------
COMPULSORY FOR TFC
ARR LEAL/LC/MI",H24,"No SID available via ASTRO, expect ATC instructions",,LE,15 OCT 2020
LF5987,LFML,MTL,,"NOT AVBL FOR TFC
via ETREK/LERGA
acft-eqpt(01,02,04,D1,D2,D4)",H24,To force RNAV1 equipped traffic to plan ETREK and LERGA SID.,,LF,25 DEC 2020
LH5504,LHBP,WITRI,,"COMPULSORY FOR TFC
Via WITRI DCT MIZOL DCT IBLIZ",H24,FRA Departure Connecting Route,,LH,25 DEC 2020
LH5505,LHBP,DUZLA,,"COMPULSORY FOR TFC
Via DUZLA DCT OSDUK/VEBAL/BAREB",H24,"FRA Departure Connecting Route
",,LH,25 DEC 2020
LH5506,LHBP,GILEP,,"COMPULSORY FOR TFC
1. Via GILEP DCT ZOLKU and then ARSIN/ABETI/SUNIS/TEKNO/BEGLA
2. ARR LZIB Via GILEP DCT XOMBA",H24,"FRA Departure Connecting Route
",,LH,25 DEC 2020
LH5507,LHBP,GAZDA,,"COMPULSORY FOR TFC
Via GAZDA DCT MAVIR and then
1. Via KEROP below FL135
2. Via LRARTMA/LRBBMOP*",H24,"FRA Departure Connecting Route
",,LH,25 DEC 2020
LH5508,LHBP,FAHAZ,,"COMPULSORY FOR TFC
Via FAHAZ DCT KEROP above FL135",H24,"FRA Departure Connecting Route
",,LH,25 DEC 2020
LH5509,LOWW,STEIN,,"COMPULSORY FOR TFC
1. Via STEIN DCT NOHAT and then VEBAL/KOPRY/NEKIN
2. Via STEIN DCT DIMLO",H24,"FRA Departure Connecting Route
",,LH,25 DEC 2020
LH5510,LOWW,ARSIN,,"COMPULSORY FOR TFC
Via ARSIN DCT NALOX and-then BABIT/BAREB/OSDUK",H24,"FRA Departure Connecting Route
",,LH,25 DEC 2020
LH5513,LHKE,,ERGUZ,"COMPULSORY FOR TFC
via LITKU
This traffic shall file ERGUZ DCT FOGRE DCT LITKU",H24,"FRA Departure Connecting Route
",,LH,25 DEC 2020
LF5993,LFHX,,BELEP/CFA/MOU/RISUN,,H24,Airport connectivity,,LF,22 JAN 2021
LS5590,LSHA,,"LS600, LS601","ONLY AVBL FOR TFC
eng-type helicopter",H24,To provide connection between hospital and LFN.,,LS,19 MAR 2021
LS5592,LSNO,,"UMTOP, LS602","ONLY AVBL FOR TFC
eng-type helicopter",H24,To provide connection between heliport and LFN.,,LS,19 MAR 2021
EI5503,EINN,"AGINI3B,PELIG3B,OSGAR3B,
AGINI3A,TOMTO3ADIGAN3A",,"COMPULSORY FOR TFC
1. Via BOFUM, DEXEN, ENDEQ, LIFFY, ROTEV, NEVRI, DEGOS, ERNAN
2. ARR DUBLIN_GROUP",H24,To force traffic onto the correct orientation.,,EI,22 JAN 2021
EI5507,EICK,TISMO,,"COMPULSORY FOR TFC
1. Via  BOFUM, ENDEQ, LIFFY, DEXEN, BOYNE, ROTEV, NEVRI, DEGOS, ERNAN
2. ARR DUBLIN_GROUP",H24,To force traffic onto the correct orientation.,,EI,22 JAN 2021
LL5521,LLBG,,NAT,"ONLY AVBL FOR TFC
ARR LL**",H24,to force traffic DEP LLBG with ARR LLHA/LLIB/LLMG,,"LL, NM",06 JAN 2021
LI5548,LIBV,,"ROBOT,DOGUS,CDC,VIE",,H24,to facilitate DEP traffic,,LI,14 JAN 2021
LF5830,LFCG / LFCL / LFCQ / LFCW / LFCX / LFDB / LFDX / LFMW,,TOU,"COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via TOU DCT AGN DCT SECHE DCT UVELI DCT CNA DCT MANAK
2. via TOU DCT TUPAR
3. via TOU DCT POI
4. via TOU DCT ADABI DCT BOKNO
5. via TOU DCT DIBAG DCT TUDRA DCT BEVOL
6. via TOU DCT GAI DCT MEN DCT NINUN
7. via TOU DCT GAI DCT DEGOL DCT FJR
8. via TOU DCT LOMRA DCT ROCAN
9. via TOU DCT AGN DCT ANETO
10. via TOU DCT AGN DCT MAQAB DCT TIVLI
11. via TOU DCT AGN DCT LATEK",H24,"Airport connectivity
----
to organize DEP in LFBBUBDX",FRA rule,LF,29 OCT 2021
LF5807,LFDJ,,"AGN, FISTO, ROCAN, TIVLI, LATEK, ANETO, GAI","COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via AGN DCT SECHE DCT UVELI DCT CNA
2. via FISTO DCT POI
3. via FISTO DCT PERIG DCT ADABI DCT BOKNO
4. via FISTO DCT PERIG DCT DIBAG DCT TUDRA DCT BEVOL
5. via GAI DCT MEN DCT NINUN
6. via GAI DCT DEGOL DCT FJR
7. via ROCAN, TIVLI, LATEK, ANETO",H24,"Airport connectivity
-----
to organize DEP in LFBBUBDX",FRA rule,LF,29 OCT 2021
LF5995,LFLU,,AMIKO/MTL/ROMAM,,H24,Airport connectivity,,LF,22 JAN 2021
LL5522,LLBG,,BGN,"ONLY AVBL FOR TFC
DEP LLBG with ARR LLHS",H24,To allow filing DCT BTN LLBG and LLHS,,LL,20 JAN 2021
UK5507,UKHS,,"LUMAT, UDVIR, IZERA",,H24,To facilitate flight planning for departure.,,UK,19 FEB 2021
UK5555,UKKG,,"KOSNA, MIMKO, GODOD",,H24,To facilitate flight planning for departure.,,UK,19 FEB 2021
EN5572,ENBO,IBVIS,,"ONLY AVBL FOR TFC
ARR ENRS/ENAN/ENLK/ENSK/ENSH",H24,To facilitate correct DEP traffic flow,,EN,19 FEB 2021
EN5579,ENTC,GILGU,,"NOT AVBL FOR TFC
Flight type S
Except
1. ARR ENAN
2. VIA ENOBOA",H24,To facilitate correct DEP traffic flow,,EN,19 FEB 2021
EN5566,ENTC,ROSKO,,"ONLY AVBL FOR TFC
ARR ENDU / ENEV",H24,To facilitate correct DEP traffic flow,,EN,19 FEB 2021
LF5997,LFMN,,IRMAR/OKTET/BODRU/BADOD/PERUS/BASIP/SODRI/LONSU/VAREK/RUBAS/EPOLO/TURIL/LANKO/RUBIT,"ONLY AVBL FOR TFC
not-acft-eqpt(D1,D2,O1,O2)",H24,Airport connectivity,,LF,19 FEB 2021
EB5504,EBBR/EBMB,ELSIK,,"ONLY AVBL FOR TFC
1.ARR EHEH
2.ARR EDDGFIR","1.H24
2.23:00-06:00 (22:00-05:00)","1. Allow shorter connection to EHEH
2. Allow shorter options during the night for Langen FIR destinations (as per the LoA: Brussels ACC-Langen ACC)",,EB,19 MAR 2021
EB5505,EBAW,SONDI,,"NOT AVBL FOR TFC
ARR EHEH except via ELSIK",H24,To allow shorter connection for EHEH,,EB,19 MAR 2021
EB5510,EBKT,,"FERDI,LEQ,LL,MAK,MRV",,H24,To allow connection from EBKT via specific waypoints.,,EB,19 MAR 2021
LF5999,LFEV,,RLP / LUL / DJL,,H24,Airport connectivity,,LF,19 MAR 2021
ED5515,EDDF,KOMIB3D,,"ONLY AVBL FOR TFC
ARR NURNBERG_AREA",H24,To force departing traffic onto correct SID,,ED,19 MAR 2021
EB5511,EBBR / EBMB,"CIV, DENUT,  ELSIK, HELEN, KOK,  LNO, NIK, PITES, ROUSY, SOPOK,  SPI",,"COMPULSORY FOR TFC
with RFL above FL065
except ARR EHEH via ELSIK",H24,Traffic shall use SIDs and STARs where available.,,EB,19 MAR 2021
EB5512,EBCI,"CIV, LNO,  RITAX, SOPOK, SPI",,"COMPULSORY FOR TFC
with RFL above FL065",H24,Traffic shall use SIDs and STARs where available.,,EB,19 MAR 2021
EBEL5500,ELLX,"ASMOX, DIK, EXCOS, GTQ, MMD, RAPOR ",,"COMPULSORY FOR TFC
with RFL above FL055",H24,Traffic shall use SIDs and STARs where available.,,"EB, EL",19 MAR 2021
EB5515,EBLG,"LNO, CIV, BUB",,"COMPULSORY FOR TFC
with-rfl-above FL 065",H24,Traffic shall use SIDs and STARs where available.,,EB,19 MAR 2021
EB5516,EBOS,"COA, KOK, KONAN, MAK, FERDI, NIK, SASKI",,"COMPULSORY FOR TFC
with-rfl-above FL065",H24,Traffic shall use SIDs and STARs where available.,,EB,19 MAR 2021
EN5583,ENBO,,RILUN,"ONLY AVBL FOR TFC
ARR ENRA, ENMS, ENST",H24,To facilitate correct DEP traffic flow,,EN,19 MAR 2021
EN5584,ENDU,,BDF,"ONLY AVBL FOR TFC
ARR ENEV,ENDU,ENTC",H24,To facilitate correct DEP traffic flow,,EN,28 MAR 2021
EN5586,ENEV,,EVD,"ONLY AVBL FOR TFC
ARR ENDU,ENEV",H24,"To facilitate correct DEP traffic flow
",,EN,28 MAR 2021
EN5588,ENDU,,"AMIMO,LAVNA,PIGAX,POBEL,RIXEM,ROSKO,SJA","NOT AVBL FOR TFC
acft-eqpt (D1, D2, D3, D4, O1, O2, O3, O4)
with-rfl-above FL095
except flt-type X",H24,RNAV1/RNP1 equipped flights shall file via published SID if RFL above FL095,,EN,28 MAR 2021
EN5589,ENEV,,"AMIMO,BARVI,EVANI,GEPTU,LAVNA,PIKOX","NOT AVBL FOR TFC
acft-eqpt (D1, D2, D3, D4, O1, O2, O3, O4)
with-rfl-above FL095
except  flt-type X",H24,RNAV1/RNP1 equipped flights shall file via published SID if RFL above FL095,,EN,28 MAR 2021
EN5590,ENTC,,"AMIMO,BDF,ERPUG,EVANI,GILGU,LITPI,LOMVI,MOKAX,ROSKO","NOT AVBL FOR TFC
acft-eqpt (D1, D2, D3, D4, O1, O2, O3, O4)
with-rfl-above FL095
except  flt-type X",H24,RNAV1/RNP1 equipped flights shall file via published SID if RFL above FL095,,EN,28 MAR 2021
LF5773,LFMA,,CM/LACAZ,,H24,Airport connectivity,,LF,14 MAY 2021
LF5991,LFHP,,LERGA/MEN/MEZIN/MINDI/PIMAK,,H24,Airport connectivity,,LF,14 MAY 2021
LF5778,LFMA,,JULEE,"ONLY AVBL FOR TFC
ARR LFTH",H24,Connection to nearby AD ,,LF,14 MAY 2021
LF5774,LFMA,,SAL,"ONLY AVBL FOR TFC
ARR LFMY",H24,Connection to nearby AD ,,LF,14 MAY 2021
LF5776,LFMA,,NASIK,"ONLY AVBL FOR TFC
With RFL above FL145",H24,Airport connectivity,,LF,14 MAY 2021
LF5777,LFMA,,TRETS,"ONLY AVBL FOR TFC
With RFL below FL145",H24,Airport connectivity,,LF,14 MAY 2021
EH5500,EHAM,,BERGI,"ONLY AVBL FOR TFC
Below FL145",H24,To avoid CDM DPI-errors when taking off from RWY 36C,,EH,16 APR 2021
EH5514,EHAM,,IDRID,,H24,To avoid CDM DPI-errors when taking off from RWY 36C,,EH,16 APR 2021
LSLF5504,"LFLI, LFHN  ",,"PAS, SPR","COMPULSORY FOR TFC
via LSGG TMA, LSAGE LSAGS, LSAGN",H24,To create departure connection points for the mentioned aerodromes so that standardized routings from these points can be established.,,"LS, LF",01 OCT 2021
LR5572,LROP/LRBS,POLUN,,"NOT AVBL FOR TFC
DEP LROP/LRBS
Via LBSRCTAS
Except via POLUN DCT TIMUR","05:00..23:00 (04:00..22:00)
","To maintain segregated traffic flows and reduced complexity during FRA operation.
",,LR,11 JUN 2021
LY5518,LYBE,TADAM,,"ONLY AVBL FOR TFC
via LHCCCTA",When LYTR102 or LYTR102Z is active,To enable additional flight planning option which circumnavigate allocated airspace volumes for traffic DEP LYBE.,,LY,14 MAY 2021
EN5513,ENZV,,"WESTY, ZOL, INLUP, ETROM","ONLY AVBL FOR TFC
type helicopter",H24,To facilitate correct DEP traffic flow,,EN,11 JUN 2021
LR5584,LRBC,,MIRON,"NOT AVBL FOR TFC
dep LRBC",H24,To facilitate FRA operations,,LR,11 JUN 2021
LR5585,LRBC,,ANTAL,"NOT AVBL FOR TFC
dep LRBC",H24,To facilitate FRA operations,,LR,11 JUN 2021
LR5586,LRBC,,PEQIN,"NOT AVBL FOR TFC
dep LRBC",H24,To facilitate FRA operations,,LR,11 JUN 2021
LR5587,LRBC,,MOLID,"NOT AVBL FOR TFC
dep LRBC",H24,To facilitate FRA operations,,LR,11 JUN 2021
