ARR ID,ARR AD,"First PT STAR /
STAR ID",DCT ARR PT,ARR FPL Option,"ARR Time
Applicability","ARR Operational
Goal",ARR Remarks,NAS / FAB,"Release
Date"
UG5525,UGKO,BASKA,,"NOT AVBL FOR TFC
FLT-TYPE(S, N) EXC
VIA GUSLI (DCT, L125) BASKA",H24,To segregate DEP/ARR traffic flows,,UG,21 MAR 2023
UG5526,UGKO,EMBUS,,"NOT AVBL FOR TFC
FLT-TYPE(S, N) EXC
1. VIA (LURIS, KUFAN, ADEKI)
2. VIA (TISOT, OGEVI) DCT BT DCT EMBUS
3. VIA H7
4. VIA BASKA1B",H24,To segregate DEP/ARR traffic flows,,UG,21 MAR 2023
UG5527,UGKO,,KTS,"NOT AVBL FOR TFC
FLT-TYPE(S, N) EXC
VIA (H5, H7)",H24,Airport connectivity,,UG,21 MAR 2023
UG5528,UGSB,SOSED,,"NOT AVBL FOR TFC
FLT-TYPE(S, N) EXC
VIA (IDLER, BANUT) DCT SOSED",H24,To segregate DEP/ARR traffic flows,,UG,21 MAR 2023
UG5529,UGSB,KUSSA,,"NOT AVBL FOR TFC
FLT-TYPE(S, N) EXC
1.VIA KTS DCT KUSSA
2. VIA H5
3. DEP UGKO",H24,To segregate DEP/ARR traffic flows,,UG,21 MAR 2023
UG5530,UGSB,ODILI,,"NOT AVBL FOR TFC
FLT-TYPE(S, N) EXC
1. VIA ADEKI (DCT, N644) BADIR (DCT, N644) ODILI
2. VIA ADEKI N644 ODILI
3. VIA TISOT DCT LAGAS (DCT, N644) ODILI
4. VIA (OGEVI, ZAGOT, PALLE) DCT TETRO (DCT, N644) ODILI",H24,To segregate DEP/ARR traffic flows,,UG,21 MAR 2023
UG5531,UGSB,,LU,"NOT AVBL FOR TFC
FLT-TYPE(S, N) EXC
VIA H5",H24,Airport connectivity,,UG,21 MAR 2023
LF7225,LFPT,,VEXAV,"ONLY AVBL FOR TFC
DEP LFPT FLT-TYP X WITH RFL BELOW FL025",H24,To allow round-robin training flights,See AIP AD2 LFPT,LF,21 JAN 2023
LF5758,"LFCH, LFCD",,ASKAN,"COMPULSORY FOR TFC
via ARR LFCH/CD
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via TUPAR DCT CNA DCT ETPAR DCT ASKAN
2. via LMG DCT CNA DCT ETPAR DCT ASKAN
3. via SECHE DCT ETPAR DCT ASKAN
4. via URUNA DCT BTZ DCT VAVIX [DCT/B19] BMC A25 ETPAR DCT ASKAN",H24,"Airport connectivity
----
to organize ARR in LFBBUBDX","FRA rule
In CACD define as per Annex3B:
BTZ DCT VAVIX:  MEA-UNL
CNA DCT ETPAR, ETPAR DCT ASKAN, SECHE DCT ETPAR: FL055-UNL
Other DCTs: FL195-UNL",LF,25 MAR 2023
EG5680,EGCW,,"CONKO, BCN, ETNAH",,H24,To reflect operational procedures and ensure correct FDP.,,EG,09 FEB 2023
EF5549,EFKE,,"BURJA, BEXUL, INLEK, NEPIX",,H24,airport connectivity,,EF,18 FEB 2023
EF5544,EFOU,,"ABKEM, BURJA, IXONO, NUBVU, OTVEM, SUVIB,
 UGMOR, UPEDU, XEVAP",,H24,airport connectivity,,EF,18 FEB 2023
LZ5548,LZPP,JAN,,"ONLY AVBL FOR TFC
1. OKR Q350 JAN
2. XENAK M985 JAN
3. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,LZ,15 FEB 2023
LF7154,LFBX,,"PERIG, VELIN, SECHE, NORON, IBDER, LMG",,H24,Airport connectivity,,LF,24 FEB 2023
LF7228,LFBX,,NORON,"ONLY AVBL FOR TFC
DEP LFBU",H24,Airport connectivity,,LF,24 FEB 2023
EKES5514,ESGG,MAKUR,,"NOT AVBL FOR TFC
Above FL095
ARR ESGG/GP
Except 
1. Via KUVUS N607 MAKUR
2. DEP GOTHENBURG_AREA
3. DEP K***",H24,To facilitate correct ARR traffic flow Goeteborg  TMA,,"EK, ES",24 FEB 2023
LH5521,LZIB,KUVEX,,"ONLY AVBL AND COMPULSORY FOR TFC
via LOVVE16/LOWWAPP and then BEGLA DCT KUVEX
below FL245",H24,FRA Arrival Connecting Route,,LH,23 FEB 2023
LF5866,"LFBO, LFBF","NARAK, AFRIC, ASPET, SECHE, TOPTU","ASPET, SECHE","COMPULSORY FOR TFC
via LFFRASW
------
NOT AVBL FOR TFC
via LFFRASW except
1. via NARAK 
a. via SOPIL DCT BALAN DCT EVPOK DCT NARAK
b. via DISAK DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK
c. via ERIXU DCT ETAMO DCT GUERE DCT EVPOK DCT NARAK
d. via SIQLE DCT LAKOB DCT GUERE DCT EVPOK DCT NARAK
e. via REPSI DCT LERGA DCT MINSO DCT NARAK
f. via ESIDA DCT LERGA DCT MINSO DCT NARAK
g. via DEPOM DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK
h. via DISAK DCT DIRMO DCT GUERE DCT ETENU DCT NARAK
i. via ERIXU DCT ETAMO DCT GUERE DCT ETENU DCT NARAK
j. via DISAK DCT DIRMO DCT GUERE DCT NARAK
k. via ERIXU DCT ETAMO DCT GUERE DCT NARAK
2. via AFRIC
a. via FJR DCT AFRIC
3. via ASPET
a.via GIROM DCT ASPET
4. via SECHE
a. via TUPAR DCT CNA DCT UVELI DCT SECHE
b. via GALOF DCT CNA DCT UVELI DCT SECHE
c. via KOLIS DCT SECHE with flt-type(M, X) with DEP LFBO
5.  via TOPTU","H24
------
1a...1g H24 
1h, 1i when LFTRA43AZ and LFTRA43WZ are not active
1j, 1k when LFTRA43AZ and LFTRA43CZ and LFTRA43NZ and LFTRA43WZ are not active
2...5 H24","Airport connectivity
----
to organize ARR in LFBBUBDX
4c. OAT->GAT trajectory","Other STAR only available below FL195 in LFBBFIR
FRA rule
for OAT<->GAT planning, Ref Loc= LFFRASW

1h..1k: dependant applicability to prevent early descent in FIR with military activity . All TRA have to be inactive to allow flight planning.

In CACD define as per Annex3B:
MINSO DCT NARAK: MEA-UNL
EVPOK DCT NARAK, ETENU DCT NARAK, GUERE DCT NARAK: FL115-UNL
DEPOM DCT DIRMO: FL135-UNL
UVELI DCT SECHE, KOLIS DCT SECHE: FL145-UNL
Other DCTs FL195-UNL",LF,24 FEB 2023
LK5554,LKKV,BALTU,,"ONLY AVBL FOR TFC
1. via APRAQ DCT OKL DCT BALTU
2. via VLM DCT OKL DCT BALTU
3. DEP PRAGUE_GROUP, LKKV/PD/CV, LKVFR_GROUP
------
COMPULSORY FOR TFC
1. via BAVOK, PADKA, TUSIN, LZBBFIR, NAVTI, LANUX
2. via BUDEX except via BEKTO
3. DEP LKMT/TB/KU/NA",H24,"FRA connecting route
To force traffic on correct ARR route",,LK,27 FEB 2023
LK5553,PRAGUE_GROUP,VLM,,"COMPULSORY FOR TFC
1. via LANUX, NAVTI, TUSIN, PADKA, BAVOK, LZBBFIR
2. DEP LKMT/TB/KU/NA",H24,To force traffic on correct ARR route,,LK,27 FEB 2023
LZ5541,LHBP,ANEXA,,"ONLY AVBL FOR TFC
1. crossing border between LO-LZ
2. DEP LZIB
This traffic shall file via:
a) (MAREG, TOVKA) DCT ANEXA
b) XENAK L175 ANEXA
c) ADAMA Z647 ANEXA
d) TABIN Q350 ANEXA
3. DEP LOAN, LOAV, LOWW",H24,FRA connecting route,,LZ,28 FEB 2023
LE5557,LEDA,REBUL,,"COMPULSORY FOR TFC
1.DEP BALEARES_GROUP
2.DEP LEBL/LERS/LEGE/LEDA/LELL",H24,"1. Traffic allocation between Palma and Barcelona TMA
2. Traffic allocation within Barcelona TMA",,LE,08 MAR 2023
LE5559,LEGE,MAMUK,,"COMPULSORY FOR TFC
1. DEP LEIB, PALMA_GROUP
2. DEP LEBL/LERS/LEGE/LEDA/LELL",H24,"1. Traffic allocation between Palma and Barcelona TMA
2. Traffic allocation within Barcelona TMA",,LE,08 MAR 2023
LE5554,LEBL,,SLL,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LELL",H24,"Traffic allocation within Barcelona TMA / 
No STAR available, expect ATC instructions",,LE,08 MAR 2023
EG5673,EGXW,,"BANEM,BCN,BKY,CLN, JACKO,LAPRA,LND,NATEB, SONDO,TIPTA",,H24,To reflect operational procedures and ensure correct FDP.,,EG,08 MAR 2023
LI5545,LIBN,,"KAPPO,GEMVI,LATAN,TIGRA",,H24,connectivity between network and MIL airport,,LI,11 MAR 2023
LZ5501,LZKZ,MARKA,,"NOT AVBL FOR TFC
When LZTRA7 is active",H24,To facilitate correct ARR traffic flow,,LZ,13 MAR 2023
LZ5525,LZIB,NIT,,"ONLY AVBL FOR TFC
1. via EP and then LZBBEAST
This traffic shall file
NIDOK R23 NIT
2. via EP/UK/LHCCEAST/LHCCNORTH and then via LZBBEAST
This traffic shall file
TURIS A42 NIT
3. via LHCCEAST
This traffic shall file via
PATAK dct NIT for traffic with RFL above FL245 and when LZTRA6B is not active
except via TURIS, XOMBA 
4. DEP LZ
5. With RFL below FL135 in LZBBFIR
------
COMPULSORY FOR TFC
1. via EP and then LZBBEAST
2. via EP/UK/LHCCEAST/LHCCNORTH and then via LZBBEAST
3. via LHCCEAST
except via TURIS, XOMBA 
4. DEP LZ",H24,FRA connecting route,,LZ,13 MAR 2023
LZ5528,LZPP,NIT,,"ONLY AVBL FOR TFC
1. via EP and then LZBBEAST
This traffic shall file
NIDOK R23 NIT
2. via EP/UK/LHCCEAST/LHCCNORTH and then via LZBBEAST
This traffic shall file
TURIS A42 NIT
3. via LHCCEAST
This traffic shall file via
PATAK dct NIT for traffic with RFL above FL245 and when LZTRA6B is not active
except via TURIS, XOMBA
4. DEP LZ
5. With RFL below FL135 in LZBBFIR
6. via LO
This traffic shall file via ABLOM M985 JAN
------
COMPULSORY FOR TFC
1. via EP and then LZBBEAST
2. via EP/UK/LHCCEAST/LHCCNORTH and then via LZBBEAST
3. via LHCCEAST
except via TURIS, XOMBA
4. DEP LZ",H24,FRA connecting route,,LZ,13 MAR 2023
LT5501,LTFM,,BKZ,"ONLY AVBL FOR TFC
DEP LTFJ, LTBA",H24,Airport connectivity,,LT,14 MAR 2023
LE5756,LEMO,BLN / HIJ,,"ONLY AVBL FOR TFC
acft-type(mil)",H24,"No STAR available, expect ATC instructions",,LE,16 MAR 2023
LF5858,LFBC,,"ASKAN, MOTIK, LAPOS","COMPULSORY FOR TFC
ARR LFBC
------
NOT AVBL FOR TFC
via LFFRASW except
1. via TUPAR DCT CNA DCT ETPAR DCT ASKAN
2. via LMG DCT UVELI DCT SAU DCT MOTIK
3. via SECHE DCT SAU DCT MOTIK
4. via URUNA DCT BTZ DCT VAVIX DCT LAPOS
5. via MIRBA, DIRAX, KOLIS, SOTAK, BUROX with flt-type(M,X)",H24,"Airport connectivity
for OAT<->GAT planning, Ref Loc= Airport
------
to organize ARR in LFFRASW
for OAT<->GAT planning, Ref Loc= LFFRASW
5. for GAT<->OAT planning","FRA rule
In CACD define as per Annex3B:
CNA DCT ETPAR, BTZ DCT VAVIX, VAVIX DCT LAPOS, URUNA DCT BTZ: MEA-UNL
ETPAR DCT ASKAN: FL055-UNL
SAU DCT  MOTIK: FL065-UNL
UVELI DCT SAU, SECHE DCT SAU: FL145-UNL
other DCTs: FL195-UNL",LF,25 MAR 2023
LF7130,LFBD,,ETPAR,"ONLY AVBL FOR TFC
DEP LFBC, LFBG, LFCJ, LFCP, LFDC, LFDK, LFDU, LFIV",H24,Airport Connectivity,,LF,25 MAR 2023
LF5748,LFBI,"VERAC, BALAN, OLINO",,"COMPULSORY FOR TFC
via LFFRASW
------
NOT AVBL FOR TFC
via LFFRASW except
1. via URUNA [DCT/R10] BTZ DCT VAVIX DCT CNA B19 VERAC
2. via ANETO DCT AGN DCT PERIG A34 BALAN
3. via GIROM DCT AGN DCT PERIG A34 BALAN
4. via NATPI DCT EVNAM DCT PERIG A34 BALAN
5. via GEANT DCT ROCAN DCT TOU DCT PERIG A34 BALAN
6. via FJR DCT GAI DCT PERIG A34 BALAN
7. via NOQAS DCT LERGA DCT VALKU DCT LARON DCT GUSON R66 BALAN
8. via LERGA DCT VALKU DCT LARON DCT GUSON R66 BALAN with DEP LFML/HP
9. via TIS DCT VALKU DCT LARON DCT GUSON R66 BALAN
10. via SIQLE DCT LAKOB DCT KUKOR G21 RISUN R66 BALAN",H24,"Airport connectivity
----
To organize ARR in LFFRASW
NB point 8: LERGA(...) trajectory available for traffic DEP LFML/HP but also for traffic via NOQAS as per 7.","Other STAR only available below FL195 in LFBBFIR
FRA rule
In CACD define as per Annex3B:
BTZ DCT VAVIX: MEA-UNL
LARON DCT GUSON: FL065-UNL
VALKU DCT LARON, FJR DCT GAI: FL145-UNL
other DCTs FL195-UNL",LF,25 MAR 2023
EE5501,EEEI,,VEGER,"ONLY AVBL FOR TFC
1. Via DOBAN, DOPIK, GONOS, KEMET, KOIVU, OSMUR, SULUN, VALOX
2. DEP EETN",H24,To organize EEEI IFR ARR FPL,,EE,20 MAR 2023
EE5510,EETN,,"ILK,TLL","ONLY AVBL FOR TFC
DEP EETN",H24,To allow EETN local IFR flight planning.,,EE,20 MAR 2023
EE5512,EETN,,ILK / TLL / KEXLE,"ONLY AVBL FOR TFC
DEP EETN",H24,To allow EETN local IFR flight planning.,,EE,20 MAR 2023
EE5506,EFHK,INTOR,,"NOT AVBL FOR TFC
ARR EFHK
Via EETTFIR above FL095
Except 
1 Via OSMUR Q55 SORPA Q33 INTOR
2 Via LONSA Q33 INTOR
3 Via SULUN Q22 KEXLE Q11 INTOR
4 Via KEMET Q11 INTOR
5 Via GONOS Q77 IBUZU Q92 INTOR
6 Via BIRSI Q141 INTOR
7. DEP EEEI/TN
8. GONOS Q77 KEXLE Q11 INTOR
9. GEPTA Q141 INTOR",H24,1. To direct EFHK ARR to EFHK ARR FRA transiton  routes.,,EE,20 MAR 2023
EG5804,EGFF,,CDF,"ONLY AVBL FOR TFC
FLT-TYP (x)
With RFL below FL105",H24,To enable connectivity for training flights.,,EG,25 MAR 2023
EG5805,EGBJ,,GST,"ONLY AVBL FOR TFC
FLT-TYP (X)
With RFL below FL105",H24,To enable connectivity for training flights.,,EG,25 MAR 2023
EG5807,EGGD,,BRI,"ONLY AVBL FOR TFC
FLT-TYP (X)
With RFL below FL105",H24,To enable connectivity for training flights.,,EG,25 MAR 2023
EG5809,EGTE,,EX,"ONLY AVBL FOR TFC
FLT-TYP (X)
With RFL below FL105",H24,To enable connectivity for training flights.,,EG,25 MAR 2023
LF5844,"LFCJ, LFCP, LFCY, LFDC, LFDK, LFDU, LFIV, LFXB",,ESUZE,"COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via URUNA DCT BTZ DCT VAVIX DCT BMC A25 ESUZE
2. via LMG DCT CNA DCT ESUZE
3. via SECHE DCT VELIN DCT ESUZE",H24,"Airport connectivity
----
to organize ARR in LFBBUBDX","FRA rule
In CACD define as per Annex3B:
CNA DCT ESUZE, VELIN DCT ESUZE: MEA-UNL
Other DCTs: FL195-UNL",LF,20 APR 2023
LF7128,"LFCJ, LFCP, LFDC, LFDK, LFDU, LFIV",,ESUZE,,H24,Airport Connectivity,,LF,20 APR 2023
LC5511,LCRA,,ANANE,"NOT AVBL FOR TFC
ARR LCRA
Except
1. Via TOMBI and then PEDER DCT MEZUS M67 ANANE
2. Via TOMBI and then PEDER and then MAROS and then MEZUS M67 ANANE
3. Via EVENO DCT PEDER DCT MEZUS M67 ANANE
4. Via EVENO DCT MAROS and then MEZUS M67 ANANE
5. Via TOSKA DCT MEZUS M67 ANANE
6. Via TOSKA and then MAROS and then MEZUS M67 ANANE
7. Via KAVOS and then APLON M28 ANANE
8. Via RASDA and then APLON M28 ANANE
9. Via LAKTO/PASOS and then STEPA DCT ANANE
10. Via LAKTO/PASOS and then STEPA and then APLON M28 ANANE
11. Via DAFNA and then VELOX and then ANANE
12. Via ALKIS and then MEZUS M67 ANANE
13. FLT-TYPE M
------
COMPULSORY FOR TFC
ARR LCRA
VIA TOMBI, EVENO, TOSKA, KAVOS, RASDA, LAKTO, PASOS, DAFNA, ALKIS","2,4,6,7,8,10,11,12,13. H24
1,3,5,9. 21:30..04:30 (20:30..03:30)
------
H24",To Facilitate FRA Operations,,LC,28 MAR 2023
LC5512,LCRA,,IREFA,"NOT AVBL FOR TFC
ARR LCRA
Except
1. Via NIKAS and then ALSUS and then EMEDA M67 IREFA
2. Via VESAR DCT EMEDA M67 IREFA
3. FLT-TYPE M",H24,To Facilitate FRA Operations,,LC,28 MAR 2023
LC5501,LCLK,RUDER,,"NOT AVBL FOR TFC
ARR LCLK
Except
1. Via VESAR DCT KRASI DCT RUDER
2. VIA NIKAS and then ALSUS M978 RUDER
------
COMPULSORY FOR TFC
ARR LCLK
VIA VESAR, NIKAS",H24,To facilitate FRA operations,,LC,28 MAR 2023
LC5502,LCPH,,ESERI,"NOT AVBL FOR TFC
ARR LCPH
Except
1. Via KAVOS/RASDA and then APLON M32 ESERI
2. Via LAKTO/PASOS and then STEPA and then APLON M32 ESERI
3. Via SUVAS DCT AFONO DCT APLON M32 ESERI
4. DAFNA/MERVA and then VELOX and then ANANE M42 ESERI
5. Via NIKAS and then ALSUS and then EMEDA and then ANANE M42 ESERI
6. Via VESAR DCT EMEDA and then ANANE M42 ESERI
7. Via BALMA DCT DESPO DCT ANANE M42 ESERI except DEP OLBA
8. with DEP OLBA via KUKLA DCT ANANE M42 ESERI
------
COMPULSORY FOR TFC
ARR LCPH 
VIA KAVOS, RASDA, LAKTO, PASOS, SUVAS, DAFNA, MERVA, NIKAS, VESAR, BALMA, KUKLA",H24,To facilitate FRA operations,,LC,28 MAR 2023
LC5506,LCLK,BETID,,"NOT AVBL FOR TFC
ARR LCLK
except
1. Via KAVOS and then APLON and then ANANE M28 BETID
2. Via RASDA and then ANANE M28 BETID
------
COMPULSORY FOR TFC
ARR LCLK
VIA KAVOS, RASDA",H24,To facilitate FRA operations,,LC,28 MAR 2023
LC5508,LCLK,EMEDA,,"NOT AVBL FOR TFC
ARR LCLK
Except
1. Via LAKTO/PASOS and then STEPA DCT ODELO DCT EMEDA
2. Via DAFNA/MERVA and then VELOX and then EMEDA
------
COMPULSORY FOR TFC
ARR LCLK 
VIA LAKTO, PASOS, DAFNA, MERVA",H24,To Facilitate FRA Operations,,LC,28 MAR 2023
LF5740,LFOZ,,MOTAL,,H24,ARR/DEP Facilitation,,LF,20 APR 2023
LR5552,LROD,,URNEQ,"NOT AVBL FOR TFC
ARR LROD
Except via:
1. ROMAG DCT/M423 URNEQ
2. BADOR DCT/Z921 URNEQ",H24,To facilitate FRA operations,,LR,01 APR 2023
LZLK5503,LKTB,MAVOR,,"ONLY AVBL FOR TFC
1. via ABITU P41 MAVOR
2. BERVA P10 MAVOR with RFL below FL135 in LZBBFIR
3. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,"LZ, LK",18 APR 2023
LZ5545,EPKK,MEBAN,,"ONLY AVBL AND COMPULSORY FOR TFC
1. via MOCON (R23, M985) MEBAN via LZBBWEST
2. via REDSI dct MEBAN via LHCCEAST
3. DEP LHBP",H24,FRA connecting route,,LZ,20 APR 2023
LE5782,LEBL,PUMAL,,"COMPULSORY FOR TFC
VIA PUMAL",H24,"To segregate traffic flows, and force traffic onto proper STAR",,LE,21 APR 2023
LE5770,LEBL,MAMUK,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEGE",H24,Traffic allocation within Barcelona TMA,,LE,25 APR 2023
LE5771,LEBL,VIBOK,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEBL/LERS/LEDA/LELL/LESU",H24,Traffic allocation within Barcelona TMA,,LE,25 APR 2023
LE5772,LERS,VIBOK,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LERS/LEGE/LEDA/LELL/LESU",H24,Traffic allocation within Barcelona TMA,,LE,25 APR 2023
LE5773,LERS,DUQQI,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEBL",H24,Traffic allocation within Barcelona TMA,,LE,25 APR 2023
